Country,Year,Rural,Urban
Afghanistan,2013,90,no
Albania,2013,80,40
Algeria,2013,100,50
Andorra,2013,90,50
Angola,2013,90,60
Antigua and Barbuda,2013,~64  ,~32
Argentina,2013,110,60
Armenia,2013,90,90
Australia,2013,100 - 130,50
Austria,2013,100,50
Azerbaijan,2013,90,60
Bahamas,2013,48 - 72,24 - 72
Bahrain,2013,100,60
Bangladesh,2013,~112  ,no
Barbados,2013,80,80
Belarus,2013,90,60
Belgium,2013,90,50
Belize,2013,no,~40  
Benin,2013,-,-
Bhutan,2013,50,30
Bolivia (Plurinational State of),2013,80,40
Bosnia and Herzegovina,2013,80,50
Botswana,2013,80,60
Brazil,2013,60,80
Bulgaria,2013,90,50
Burkina Faso,2013,90,50
C̫te d'Ivoire,2013,110,60
Cabo Verde,2013,90,50
Cambodia,2013,90,40
Cameroon,2013,110,60
Canada,2013,50 - 110,50
Central African Republic,2013,110,60
Chad,2013,110,60
Chile,2013,100,60
China,2013,-,-
Colombia,2013,120,80
Congo,2013,110,60
Cook Islands,2013,50,50
Costa Rica,2013,60,50
Croatia,2013,90,50
Cuba,2013,90,50
Cyprus,2013,no,65
Czechia,2013,90,50
Democratic Republic of the Congo,2013,90,60
Denmark,2013,80,50
Djibouti,2013,80,50
Dominica,2013,-,-
Dominican Republic,2013,60,35
Ecuador,2013,100,50
Egypt,2013,90,60
El Salvador,2013,90,50
Eritrea,2013,100,60
Estonia,2013,90,50
Ethiopia,2013,70,60
Fiji,2013,-,-
Finland,2013,80,50
France,2013,90,50
Gabon,2013,110,60
Gambia,2013,no,no
Georgia,2013,90,60
Germany,2013,100,50
Ghana,2013,90,50
Greece,2013,90,50
Guatemala,2013,80,60
Guinea,2013,-,-
Guinea-Bissau,2013,no,60
Guyana,2013,~64  ,~64  
Honduras,2013,no,no
Hungary,2013,90,50
Iceland,2013,90,50
India,2013,no,no
Indonesia,2013,100,70
Iran (Islamic Republic of),2013,95,60
Iraq,2013,100,60
Ireland,2013,100,50
Israel,2013,80,50
Italy,2013,90,50
Jamaica,2013,~80  ,~48  
Japan,2013,60,60
Jordan,2013,120,90
Kazakhstan,2013,110,60
Kenya,2013,100,50
Kiribati,2013,60,40
Kuwait,2013,80,45
Kyrgyzstan,2013,90,60
Lao People's Democratic Republic,2013,90,40
Latvia,2013,90,50
Lebanon,2013,70,50
Lesotho,2013,80,50
Liberia,2013,~56  ,~40  
Libya,2013,85,50
Lithuania,2013,90,50
Luxembourg,2013,90,50
Madagascar,2013,no,50
Malawi,2013,80,50
Malaysia,2013,90,90
Maldives,2013,30,30
Mali,2013,90,50
Malta,2013,80,50
Marshall Islands,2013,~64  ,~40  
Mauritania,2013,100,80
Mauritius,2013,90,90
Mexico,2013,20 - 90,20 - 70
Micronesia (Federated States of),2013,-,-
Monaco,2013,no,70
Mongolia,2013,80,60
Montenegro,2013,80,50
Morocco,2013,100,60
Mozambique,2013,120,60
Myanmar,2013,80,48
Namibia,2013,120,60
Nepal,2013,80,80
Netherlands,2013,80,50
New Zealand,2013,100,50
Nicaragua,2013,100,45
Niger,2013,no,50
Nigeria,2013,80,50
Norway,2013,80,50
Oman,2013,-,-
Pakistan,2013,110,90
Palau,2013,no,no
Panama,2013,100,80
Papua New Guinea,2013,75,60
Paraguay,2013,110,50
Peru,2013,60,60
Philippines,2013,80,40
Poland,2013,90,50
Portugal,2013,90,50
Qatar,2013,120,100
Republic of Korea,2013,80,80
Republic of Moldova,2013,110,50
Romania,2013,90,50
Russian Federation,2013,90,60
Rwanda,2013,80,40
Saint Lucia,2013,no,no
Saint Vincent and the Grenadines,2013,~48  ,~48  
Samoa,2013,~56  ,~56  
San Marino,2013,70,70
Sao Tome and Principe,2013,90,50
Saudi Arabia,2013,120,80
Senegal,2013,90,no
Serbia,2013,100,50
Seychelles,2013,65,40
Sierra Leone,2013,80,50
Singapore,2013,no,70
Slovakia,2013,90,50
Slovenia,2013,90,50
Solomon Islands,2013,no,no
Somalia,2013,60,40
South Africa,2013,100,60
Spain,2013,90,50
Sri Lanka,2013,70,50
Sudan,2013,90,50
Suriname,2013,80,40
Swaziland,2013,100,100
Sweden,2013,110,50
Switzerland,2013,80,50
Tajikistan,2013,90,60
Thailand,2013,90,80
The former Yugoslav republic of Macedonia,2013,80,60
Timor-Leste,2013,90,50
Togo,2013,-,-
Tonga,2013,70,50
Trinidad and Tobago,2013,80,50
Tunisia,2013,90,50
Turkey,2013,110,50
Turkmenistan,2013,90,60
Uganda,2013,100,50
United Arab Emirates,2013,120,90
United Kingdom of Great Britain and Northern Ireland,2013,96,48
United Republic of Tanzania,2013,no,50
United States of America,2013,40 - 121  ,32 - 105  
Uruguay,2013,90,45
Uzbekistan,2013,100,70
Vanuatu,2013,-,-
Viet Nam,2013,80,50
Yemen,2013,no,no
Zambia,2013,100,50
Zimbabwe,2013,120,60
