"Country","Year","Training in medical emergency - available for doctors","Training in medical emergency - available for nurses"
"Afghanistan","2013","Yes","No"
"Albania","2013","No","Yes"
"Algeria","2013","No","No"
"Andorra","2013","No","Yes"
"Angola","2013","Yes","Yes"
"Antigua and Barbuda","2013","Yes","Yes"
"Argentina","2013","Yes","Yes"
"Armenia","2013","Yes","Yes"
"Australia","2013","Yes","Yes"
"Austria","2013","Yes","No"
"Azerbaijan","2013","Yes","Yes"
"Bahamas","2013","-","Yes"
"Bahrain","2013","Yes","Yes"
"Bangladesh","2013","Yes","No"
"Barbados","2013","Yes","No"
"Belarus","2013","Yes","Yes"
"Belgium","2013","Yes","Yes"
"Belize","2013","No","Yes"
"Benin","2013","Yes","Yes"
"Bhutan","2013","Yes","Yes"
"Bolivia (Plurinational State of)","2013","Yes","Yes"
"Bosnia and Herzegovina","2013","Yes","Yes"
"Botswana","2013","Yes","No"
"Brazil","2013","Yes","Yes"
"Bulgaria","2013","Yes","Yes"
"Burkina Faso","2013","Yes","No"
"C̫te d'Ivoire","2013","Yes","No"
"Cabo Verde","2013","No","No"
"Cambodia","2013","Yes","Yes"
"Cameroon","2013","Yes","Yes"
"Canada","2013","Yes","Yes"
"Central African Republic","2013","No","No"
"Chad","2013","No","No"
"Chile","2013","Yes","Yes"
"China","2013","Yes","No"
"Colombia","2013","Yes","No"
"Congo","2013","No","No"
"Cook Islands","2013","Yes","Yes"
"Costa Rica","2013","Yes","No"
"Croatia","2013","Yes","No"
"Cuba","2013","Yes","Yes"
"Cyprus","2013","No","Yes"
"Czechia","2013","Yes","Yes"
"Democratic Republic of the Congo","2013","Yes","No"
"Denmark","2013","No","No"
"Djibouti","2013","Yes","No"
"Dominica","2013","Yes","Yes"
"Dominican Republic","2013","Yes","No"
"Ecuador","2013","Yes","Yes"
"Egypt","2013","Yes","Yes"
"El Salvador","2013","No","No"
"Eritrea","2013","No","No"
"Estonia","2013","Yes","Yes"
"Ethiopia","2013","Yes","Yes"
"Fiji","2013","-","Yes"
"Finland","2013","No","Yes"
"France","2013","Yes","Yes"
"Gabon","2013","No","No"
"Gambia","2013","No","No"
"Georgia","2013","Yes","Yes"
"Germany","2013","Yes","-"
"Ghana","2013","Yes","Yes"
"Greece","2013","No","Yes"
"Guatemala","2013","No","No"
"Guinea","2013","No","No"
"Guinea-Bissau","2013","No","No"
"Guyana","2013","Yes","Yes"
"Honduras","2013","No","No"
"Hungary","2013","Yes","Yes"
"Iceland","2013","Yes","Yes"
"India","2013","Yes","Yes"
"Indonesia","2013","Yes","Yes"
"Iran (Islamic Republic of)","2013","Yes","Yes"
"Iraq","2013","Yes","Yes"
"Ireland","2013","Yes","Yes"
"Israel","2013","Yes","Yes"
"Italy","2013","Yes","Yes"
"Jamaica","2013","Yes","Yes"
"Japan","2013","Yes","Yes"
"Jordan","2013","Yes","Yes"
"Kazakhstan","2013","Yes","Yes"
"Kenya","2013","No","No"
"Kiribati","2013","Yes","Yes"
"Kuwait","2013","Yes","Yes"
"Kyrgyzstan","2013","No","Yes"
"Lao People's Democratic Republic","2013","Yes","-"
"Latvia","2013","Yes","Yes"
"Lebanon","2013","Yes","Yes"
"Lesotho","2013","Yes","No"
"Liberia","2013","No","No"
"Libya","2013","Yes","Yes"
"Lithuania","2013","Yes","Yes"
"Luxembourg","2013","Yes","No"
"Madagascar","2013","Yes","No"
"Malawi","2013","Yes","Yes"
"Malaysia","2013","Yes","Yes"
"Maldives","2013","Yes","Yes"
"Mali","2013","Yes","Yes"
"Malta","2013","Yes","No"
"Marshall Islands","2013","Yes","Yes"
"Mauritania","2013","Yes","No"
"Mauritius","2013","Yes","Yes"
"Mexico","2013","Yes","Yes"
"Micronesia (Federated States of)","2013","No","Yes"
"Monaco","2013","Yes","-"
"Mongolia","2013","Yes","Yes"
"Montenegro","2013","Yes","No"
"Morocco","2013","Yes","Yes"
"Mozambique","2013","No","No"
"Myanmar","2013","Yes","No"
"Namibia","2013","-","-"
"Nepal","2013","Yes","No"
"Netherlands","2013","Yes","Yes"
"New Zealand","2013","Yes","Yes"
"Nicaragua","2013","Yes","-"
"Niger","2013","Yes","No"
"Nigeria","2013","Yes","-"
"Norway","2013","Yes","Yes"
"Oman","2013","Yes","Yes"
"Pakistan","2013","No","No"
"Palau","2013","Yes","Yes"
"Panama","2013","Yes","Yes"
"Papua New Guinea","2013","Yes","Yes"
"Paraguay","2013","Yes","-"
"Peru","2013","Yes","Yes"
"Philippines","2013","Yes","Yes"
"Poland","2013","Yes","Yes"
"Portugal","2013","No","Yes"
"Qatar","2013","Yes","Yes"
"Republic of Korea","2013","Yes","Yes"
"Republic of Moldova","2013","Yes","Yes"
"Romania","2013","Yes","Yes"
"Russian Federation","2013","Yes","Yes"
"Rwanda","2013","-","-"
"Saint Lucia","2013","Yes","Yes"
"Saint Vincent and the Grenadines","2013","Yes","Yes"
"Samoa","2013","Yes","Yes"
"San Marino","2013","Yes","Yes"
"Sao Tome and Principe","2013","No","No"
"Saudi Arabia","2013","Yes","Yes"
"Senegal","2013","Yes","No"
"Serbia","2013","Yes","Yes"
"Seychelles","2013","Yes","Yes"
"Sierra Leone","2013","Yes","Yes"
"Singapore","2013","Yes","Yes"
"Slovakia","2013","Yes","Yes"
"Slovenia","2013","Yes","No"
"Solomon Islands","2013","No","No"
"Somalia","2013","No","No"
"South Africa","2013","Yes","Yes"
"Spain","2013","No","No"
"Sri Lanka","2013","Yes","No"
"Sudan","2013","Yes","No"
"Suriname","2013","No","No"
"Swaziland","2013","Yes","Yes"
"Sweden","2013","Yes","Yes"
"Switzerland","2013","Yes","Yes"
"Tajikistan","2013","No","Yes"
"Thailand","2013","Yes","No"
"The former Yugoslav republic of Macedonia","2013","Yes","Yes"
"Timor-Leste","2013","No","No"
"Togo","2013","Yes","No"
"Tonga","2013","Yes","No"
"Trinidad and Tobago","2013","Yes","Yes"
"Tunisia","2013","Yes","Yes"
"Turkey","2013","Yes","No"
"Turkmenistan","2013","No","No"
"Uganda","2013","No","No"
"United Arab Emirates","2013","Yes","Yes"
"United Kingdom of Great Britain and Northern Ireland","2013","Yes","Yes"
"United Republic of Tanzania","2013","Yes","Yes"
"United States of America","2013","Yes","Yes"
"Uruguay","2013","Yes","No"
"Uzbekistan","2013","Yes","Yes"
"Vanuatu","2013","Yes","Yes"
"Viet Nam","2013","Yes","Yes"
"Yemen","2013","Yes","Yes"
"Zambia","2013","Yes","Yes"
"Zimbabwe","2013","No","No"
